Threshold,Precision,Recall,F1_Score,Predicted_Defaults,Actual_Defaults
0.3,0.15678102896721743,0.9006912830888552,0.26707329267073293,34073,5931
0.4,0.1883596636013519,0.8081267914348339,0.3055104057111897,25446,5931
0.5,0.22815370826798118,0.6867307368066093,0.342513560105958,17852,5931
0.6,0.2822494669509595,0.5356600910470409,0.3696980275789841,11256,5931
0.7,0.3593013100436681,0.3468217838475805,0.3529512697323267,5725,5931
