Feature,Importance,Std
Age,0.07744744860540012,0.007191136464733236
InterestRate,0.06097944293905329,0.0042643125477534035
Income,0.041105241448774435,0.003672575323620539
MonthsEmployed,0.024640351727928066,0.0024598401060543194
LoanAmount,0.02114215761309224,0.0016485132925595706
EmploymentType_Unemployed,0.00447917165704812,0.001525540234645855
HasDependents_Yes,0.0039163540010102695,0.0004593639127446232
HasMortgage_Yes,0.002344125800067709,0.000875003865545415
Education_High School,0.001446188205445198,0.0002806047978171719
MaritalStatus_Married,0.0013365848224630827,0.0014390496086923148
EmploymentType_Part-time,0.0013300413369119468,0.0010488867828441202
LoanPurpose_Home,0.001317032264447171,0.0008610024591335491
Education_PhD,0.001256271327186287,0.0011457184948818872
HasCoSigner_Yes,0.000998037343827729,0.001301863616153964
CreditScore,0.0009068180392990399,0.0006810894160510783
EmploymentType_Self-employed,0.0008618705254535674,0.0005315164751041218
DTIRatio,0.0006113485072088976,0.0007904528939809255
LoanPurpose_Business,0.0004886581531245327,0.00027879688386375334
NumCreditLines,0.00030388258494165046,0.0011007933174734196
MaritalStatus_Single,9.932076283016844e-05,0.00017237491758907868
LoanTerm,-2.3369591254263078e-05,0.00013442379932919525
LoanPurpose_Education,-3.2327934568288085e-05,0.0001200822088969638
LoanPurpose_Other,-3.435329914369678e-05,5.227248171928026e-05
Education_Master's,-0.0001679494624800215,0.0004454164395404436
