Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC,Train_Time_Sec
Logistic Regression (Baseline),0.8851772077540631,0.6030769230769231,0.03304670375990558,0.06265984654731457,0.7531120539714027,0.3116328383008386,0.46
Balanced Logistic Regression,0.6763853534364598,0.21962320067739205,0.6997133704265722,0.33431344906754745,0.753180797586476,0.3105361732713122,0.52
HistGradientBoosting (Balanced),0.693812414333268,0.22815370826798118,0.6867307368066093,0.342513560105958,0.7571640015087587,0.3281254753551611,2.81
Random Forest (Balanced),0.7754650479733699,0.2700232635427052,0.5479683021412916,0.3617743641119831,0.7517639485002747,0.31009206295396574,5.05
AdaBoost,0.8856863129038575,0.6109785202863962,0.04316304164559096,0.08062992125984252,0.7512848872305706,0.3165803682578908,46.46
Gradient Boosting,0.8860387703152536,0.5787234042553191,0.0687910976226606,0.12296564195298372,0.7551126037335605,0.32591570120594526,36.88
Scratch Logistic Regression,0.8846485216369688,0.5510204081632653,0.036418816388467376,0.06832199905108334,0.7461498430246423,0.3004861907738896,24.19
